1,A73EGS-P,1,0.029964923858642578,4001,351,113,345,2914,165,616,961,118,17,7,19,594,27,234,428,290,63,11,31,108,6,19,47,274,31,18,35,820,30,355,703,94,8,6,14,113,3,22,37,2,0,1,1,12,0,9,11,294,26,21,38,160,2,36,45,546,49,41,81,1857,45,709,813,2957,138,103,202,641,17,136,126,91,5,4,9,114,1,43,28,166,15,3,8,16,0,1,1,159,6,12,15,92,3,34,28,533,31,21,30,139,2,43,21,22,0,0,3,51,4,23,5,968,32,23,51,100,6,33,28,1728,49,102,128,1501,17,422,312,162,345,6,660,96,212,21,1867,7,20,0,57,26,41,15,847,22,38,0,45,4,6,0,46,15,35,1,106,34,40,9,833,3,19,0,56,8,11,2,174,1,0,0,2,1,3,1,45,20,47,0,92,7,5,0,148,44,103,3,317,117,134,57,2706,587,903,30,1833,125,96,41,1562,35,26,1,140,39,24,19,455,35,39,1,44,2,3,3,22,27,49,2,123,30,22,13,306,241,357,10,701,38,23,24,467,10,11,0,56,14,8,15,234,503,730,12,797,27,38,15,376,757,723,68,2648,419,317,236,21697
2,A73EGS-P,2,0.03300285339355469,4251,516,61,157,1195,173,187,756,85,14,6,12,178,20,102,276,604,86,15,30,189,35,28,46,131,27,9,20,738,47,315,973,65,19,3,3,53,6,17,24,3,1,1,0,22,2,11,30,145,15,4,10,59,7,8,28,159,17,8,31,629,18,132,223,1216,177,41,61,477,51,71,121,44,8,4,10,81,11,13,23,180,31,2,12,30,4,4,9,68,7,5,7,145,12,18,112,225,28,5,17,63,2,4,25,23,4,2,6,72,5,18,37,806,44,22,22,120,11,15,36,754,23,125,134,1727,137,209,459,57,157,8,116,51,71,23,725,2,3,1,18,16,15,14,133,14,24,2,12,4,7,4,20,5,4,2,23,29,17,36,207,5,9,1,20,4,6,2,136,2,1,0,6,3,5,6,49,8,20,3,33,5,16,3,133,17,17,3,230,118,103,82,1818,200,741,25,621,87,151,69,1717,12,35,5,105,13,29,23,180,14,34,1,29,6,11,8,105,10,26,7,139,19,44,30,423,107,298,6,137,13,13,15,195,10,41,3,73,23,31,60,341,288,950,33,223,14,106,32,454,128,207,73,1729,197,460,313,40954
3,A73EGS-P,3,0.04300069808959961,2557,280,92,212,2658,164,447,1198,70,8,5,12,519,16,284,459,278,84,6,27,112,10,17,42,227,23,14,24,1073,50,447,949,60,7,5,13,67,2,29,28,4,0,0,0,10,0,4,11,183,19,6,20,154,7,27,42,456,28,28,49,1957,30,542,636,2477,124,74,130,902,23,100,134,53,1,3,6,100,1,30,16,136,11,3,4,16,0,4,5,131,5,7,10,141,2,17,39,410,12,21,32,83,2,33,33,14,0,0,0,22,0,14,2,1214,35,28,33,143,6,21,24,2085,21,126,117,2128,36,280,397,86,203,0,509,85,159,10,2195,4,1,0,24,27,30,8,625,1,15,0,18,3,3,1,34,5,18,1,64,21,31,16,628,4,11,0,34,2,8,1,131,0,0,0,2,1,1,2,34,9,21,0,78,4,6,2,134,27,47,2,312,89,93,50,2743,437,1096,15,1813,95,132,17,2091,12,22,1,116,33,23,17,362,25,55,0,32,1,5,0,41,27,42,2,116,29,28,6,394,265,450,9,533,24,27,10,317,9,16,0,43,14,3,18,163,423,902,8,575,22,31,8,443,550,537,53,2546,330,418,149,24881
4,A73EGS-P,4,0.04198503494262695,4717,681,153,387,2557,175,500,1099,175,18,8,30,526,56,254,409,636,414,23,57,162,29,40,101,388,64,26,58,967,141,339,1274,149,22,8,25,94,5,29,37,7,1,1,2,35,4,21,20,427,58,15,52,154,14,37,58,689,69,42,111,1333,92,623,839,2742,194,108,153,836,37,175,157,96,4,6,7,148,8,62,54,192,19,7,13,34,3,7,6,156,11,9,17,195,6,49,71,611,46,35,41,171,10,53,42,29,1,2,3,59,2,23,21,1516,124,55,59,204,13,35,45,1399,78,121,142,1954,68,567,523,146,408,7,704,93,162,42,1303,9,14,1,56,24,37,18,666,21,68,5,78,7,11,3,75,24,48,1,88,40,73,16,823,19,28,0,55,4,8,1,92,2,2,0,3,5,6,0,63,40,68,1,125,12,9,5,109,65,96,7,276,98,122,61,2116,586,1494,29,1397,159,188,80,2328,37,36,2,99,40,40,28,584,40,155,4,78,7,10,1,60,47,62,4,121,46,44,18,555,316,518,17,672,73,56,27,699,16,23,4,68,32,18,19,371,614,2526,10,1016,60,125,18,927,695,1018,73,2286,655,852,392,12085
5,A73EGS-P,5,0.03400731086730957,2973,275,79,264,2760,113,627,964,80,9,2,13,625,21,255,364,284,53,11,25,107,8,21,41,289,23,12,32,1025,34,356,705,66,4,1,10,71,3,21,30,1,0,1,1,15,0,7,9,296,20,15,43,139,6,33,45,699,48,44,81,2010,49,826,888,2845,112,77,144,685,19,103,115,74,6,7,1,117,2,33,27,124,6,1,7,20,1,1,2,136,4,4,9,113,0,21,31,648,25,19,37,135,6,24,33,13,0,1,0,43,0,11,8,992,31,25,66,90,4,32,27,1975,40,91,93,1640,18,407,285,87,298,1,720,84,124,13,2059,7,8,0,33,23,27,11,751,9,12,0,48,3,5,0,41,13,28,0,69,36,61,10,825,8,19,0,29,2,3,3,78,0,1,0,2,1,1,0,31,12,25,1,91,9,9,2,118,36,88,1,256,74,111,27,2346,643,964,16,1983,120,103,41,1669,29,32,3,98,32,26,13,400,17,31,0,61,2,3,0,14,31,53,2,101,28,16,9,276,285,410,11,793,44,20,10,391,10,11,1,50,16,10,15,182,392,781,16,853,32,17,10,289,831,855,26,2334,420,298,197,23586
6,A73EGS-P,6,0.038997650146484375,2896,452,73,325,2799,143,772,1729,73,13,1,13,775,44,375,652,431,132,2,35,146,12,31,95,317,29,11,47,1670,100,554,1488,71,9,2,10,56,2,23,31,0,0,0,0,7,0,10,25,325,34,7,44,117,5,47,70,697,48,26,73,1838,59,988,1175,2620,166,70,114,899,18,148,205,56,1,2,5,151,3,60,39,164,14,0,6,18,1,9,5,124,5,6,12,185,1,37,54,727,30,29,42,118,4,46,45,11,1,0,1,31,1,24,19,1456,87,52,53,173,2,39,60,1933,33,91,109,2560,35,608,652,68,337,2,609,58,142,6,2155,1,15,0,34,34,54,12,1078,14,33,0,70,3,4,0,49,15,47,0,73,42,63,3,1147,2,10,0,19,1,2,2,75,0,0,0,1,0,2,1,47,10,28,0,50,2,6,2,90,31,89,0,180,77,97,33,2344,690,1579,14,1931,109,166,38,2994,41,40,1,64,41,37,16,659,26,84,1,57,0,3,0,43,51,63,1,92,54,63,15,709,364,601,12,973,48,31,22,588,8,6,0,26,26,10,11,226,540,1253,14,1062,37,41,17,634,913,1063,42,2114,524,549,228,11062
7,A73EGS-P,7,0.0569920539855957,3299,385,107,381,2154,132,779,1176,111,12,2,19,681,29,443,455,375,57,9,33,105,9,19,46,372,40,13,45,1134,46,512,1046,97,15,7,16,71,2,35,48,2,1,0,0,21,4,18,21,350,26,19,42,98,6,39,61,831,46,35,86,1710,54,832,913,2209,105,58,93,473,6,115,111,58,2,3,5,118,3,34,35,119,5,5,2,12,0,2,2,116,5,6,6,119,1,31,53,734,29,27,27,133,3,48,29,26,0,1,3,40,1,31,11,1214,44,35,56,100,2,33,31,1852,61,77,106,1750,32,556,353,104,379,5,807,71,141,14,1813,5,17,0,35,30,37,26,863,17,24,0,61,5,6,2,48,29,44,0,79,33,51,12,924,5,22,0,45,2,6,0,81,1,0,0,1,0,0,1,55,17,51,0,92,3,8,2,90,35,106,1,227,85,97,57,2037,721,1178,19,1769,120,114,39,1669,32,48,1,90,38,34,24,493,25,59,0,53,1,2,1,23,43,54,1,99,32,32,11,317,422,463,20,853,47,38,21,549,18,24,3,43,23,12,16,298,468,969,12,881,31,42,26,340,854,905,52,1978,517,333,283,21019
8,acanthaluteres_brownii,1,0.03399968147277832,744,104,16,130,2249,52,692,1898,12,0,0,0,772,5,652,1223,121,16,0,12,66,2,12,26,95,9,1,15,1861,28,1028,1266,15,2,0,3,17,0,4,9,0,0,0,0,2,0,3,2,101,4,2,3,71,0,9,22,544,21,3,10,5711,41,1226,1168,2051,93,10,76,1095,8,86,191,16,0,0,1,77,1,29,20,43,4,0,3,11,0,0,1,60,1,0,3,164,0,17,17,702,14,4,9,95,0,13,13,1,0,0,0,6,0,5,2,1784,31,9,19,213,4,12,29,5116,20,24,45,4135,21,302,350,6,85,0,493,19,56,0,4874,1,2,0,2,4,11,1,1200,0,8,0,22,0,1,0,34,1,4,0,15,11,18,1,1157,0,0,0,3,1,0,0,23,0,0,0,0,0,0,0,4,2,3,0,12,1,0,0,39,10,21,0,55,25,56,4,1761,613,1627,1,5612,76,137,3,3778,3,6,0,20,5,12,3,273,10,24,0,49,1,2,0,17,6,21,0,40,15,25,0,364,552,853,1,1112,20,17,1,292,3,1,0,3,1,5,1,40,952,1037,1,1025,15,23,3,330,1234,1050,4,1653,329,442,40,5415
9,acanthaluteres_brownii,2,0.055001020431518555,1327,220,21,97,2454,156,446,1743,34,1,1,0,474,21,367,1080,253,44,2,21,84,6,16,32,148,14,0,13,1348,67,778,1146,10,3,1,0,40,0,5,9,0,0,0,0,1,0,0,5,101,22,2,14,119,2,15,36,349,29,7,20,2627,33,810,917,2502,80,34,120,1346,10,88,174,51,0,0,0,95,1,28,18,132,3,1,1,14,1,0,0,153,1,5,5,211,2,22,30,421,16,6,21,92,2,15,23,1,0,0,0,16,1,7,3,2036,23,18,38,176,4,20,40,4085,46,48,83,4306,36,386,550,29,157,0,327,48,173,3,3800,2,7,0,6,4,40,0,1147,2,26,0,19,2,2,0,39,7,14,0,19,11,30,1,839,1,2,0,4,2,0,0,65,0,0,0,0,0,0,0,18,2,9,0,21,1,6,0,96,8,15,0,53,27,73,8,2019,575,1264,2,2567,88,227,13,3599,9,17,0,46,14,20,6,363,23,48,0,43,0,2,0,15,24,28,0,84,18,51,1,527,414,785,2,815,27,25,6,407,0,3,0,7,5,4,15,108,1120,1398,2,982,23,56,7,579,1265,970,16,2065,399,747,104,11948
10,acanthaluteres_brownii,3,0.02900099754333496,1245,281,34,203,2006,98,507,1466,32,5,6,3,468,16,413,1234,299,91,8,33,116,6,35,55,149,22,3,18,1584,63,1240,1460,41,8,1,4,26,1,8,8,1,0,0,0,5,0,8,8,231,22,6,13,95,3,23,30,510,33,5,23,2705,51,931,894,1950,126,26,101,922,11,98,204,27,1,0,2,103,1,40,29,104,2,1,4,11,0,0,4,78,7,2,5,184,2,31,53,582,28,4,13,99,0,21,16,5,0,0,1,14,0,9,7,1627,56,11,29,218,3,25,48,3030,58,27,41,3405,25,405,504,17,154,0,421,24,87,4,2625,2,2,0,5,3,15,5,909,7,25,0,29,1,3,0,41,3,13,0,24,12,27,9,948,1,2,0,10,0,1,0,23,0,0,0,0,0,0,0,5,5,16,0,25,2,6,1,49,12,22,0,74,44,47,24,1412,483,1687,2,2762,97,184,13,3247,2,16,0,24,18,20,8,428,18,45,0,47,2,5,0,30,18,36,0,57,25,40,14,546,507,1577,2,979,29,34,10,407,3,12,0,16,13,8,11,148,1240,1816,9,918,24,50,7,567,1000,1038,6,1561,491,532,184,14798
